Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000114942,EEF1B2,240,-1.0690,596,0.33854,590,0.32322,902,1.02485,387,-0.3683,565,0.31720,326,-0.7071
ENSG00000204186,ZDBF2,132,2.05208,30,-0.4253,35,-0.1925,26,-0.6397,64,0.84516,17,-1.4484,26,-0.7985
ENSG00000114948,ADAM23,114,1.67087,14,-1.6587,15,-1.5708,10,-2.1127,110,1.93387,25,-0.9292,19,-1.3573
ENSG00000118246,FASTKD2,53,1.20554,24,-0.0715,7,-1.8613,54,1.23137,42,0.91568,16,-0.8382,11,-1.3496
ENSG00000118263,KLF7,124,1.91864,42,0.06105,38,-0.0822,80,1.11969,32,-0.3594,25,-0.8136,19,-1.2994
ENSG00000118260,CREB1,54,0.57723,65,0.88831,20,-0.9033,38,0.04957,41,0.15845,26,-0.6331,36,-0.0403
ENSG00000178385,PLEKHM3,50,1.15365,16,-0.6339,9,-1.4625,8,-1.6645,44,1.07207,22,-0.1762,19,-0.4807
ENSG00000188674,C2orf80,21,-1.3811,17,-1.6788,17,-1.7167,6,-3.1311,126,1.66159,65,0.37790,45,-0.3116
ENSG00000138413,IDH1,29,-0.1581,21,-0.6388,21,-0.6701,16,-1.0312,27,-0.2912,22,-0.6899,59,1.36030
ENSG00000115020,PIKFYVE,29,0.00970,27,-0.0879,20,-0.5711,6,-2.2925,27,-0.1205,19,-0.6925,50,1.20837
ENSG00000078018,MAP2,1816,0.08232,720,-1.3331,4029,1.41154,2254,0.42819,1508,-0.2284,1999,0.29258,951,-1.0590
ENSG00000144406,UNC80,479,2.11975,58,-1.3367,157,0.17598,114,-0.3196,133,-0.0952,87,-0.8551,117,-0.3464
ENSG00000115365,LANCL1,55,-1.0873,260,1.40082,71,-0.6947,55,-1.0701,197,1.04973,72,-0.7889,97,-0.2732
ENSG00000178568,ERBB4,84,-0.3200,34,-1.6817,90,-0.2107,40,-1.4495,168,0.88849,58,-1.0292,161,0.93310
ENSG00000144451,SPAG16,52,-0.5886,82,0.10548,87,0.19289,209,1.68777,48,-0.7583,53,-0.6690,78,0.03215
ENSG00000138363,ATIC,19,-0.9627,37,0.07556,29,-0.2934,5,-2.7422,44,0.38501,23,-0.7696,59,1.08915
ENSG00000115414,FN1,23,-1.8931,24,-1.8682,78,-0.0851,10,-3.1505,20,-2.2225,238,2.90756,35,-1.4719
ENSG00000079246,XRCC5,110,-0.1072,181,0.69786,76,-0.6794,95,-0.3328,160,0.55310,71,-0.8951,138,0.31946
ENSG00000197756,RPL37A,1617,-1.0116,2849,-0.1444,4622,0.62965,5719,0.98584,1695,-1.0083,4004,0.50029,2425,-0.4686
ENSG00000115461,IGFBP5,139,-0.2477,592,2.24541,6,-4.7545,471,1.79448,84,-1.0901,74,-1.3838,121,-0.5503
ENSG00000163466,ARPC2,171,-0.6373,108,-1.3378,356,0.50842,95,-1.5237,361,0.59539,340,0.54947,212,-0.3706
ENSG00000127837,AAMP,56,-0.1854,36,-0.8833,47,-0.4726,68,0.10209,94,0.70364,41,-0.7835,82,0.50207
ENSG00000127838,PNKD,110,-0.2983,79,-0.8074,121,-0.1479,27,-2.3691,142,0.11845,152,0.26392,173,0.52686
ENSG00000135926,TMBIM1,11,-1.7102,86,1.41729,0,-5.3968,1,-5.0631,11,-1.9082,42,0.28560,63,1.19732
ENSG00000171450,CDK5R2,120,0.71672,18,-2.1857,59,-0.3910,21,-1.9354,114,0.72565,98,0.48785,60,-0.4577
ENSG00000144567,RETREG2,76,-0.4221,74,-0.4547,8,-3.7414,20,-2.4239,183,1.13082,92,-0.1585,126,0.47294
ENSG00000158552,ZFAND2B,22,-0.2722,48,0.99035,32,0.32992,16,-0.7811,27,0.03320,23,-0.2715,25,-0.0942
ENSG00000198925,ATG9A,26,-0.7281,72,0.84860,9,-2.2540,14,-1.6124,71,0.92181,27,-0.8420,56,0.55117
ENSG00000127824,TUBA4A,124,-0.1387,41,-1.7885,74,-0.9368,12,-3.5661,410,2.33021,103,-0.5139,84,-0.8678
ENSG00000135924,DNAJB2,152,0.69841,251,1.56308,54,-0.9295,85,-0.2300,119,0.33422,61,-0.8492,73,-0.5570
ENSG00000054356,PTPRN,79,-0.3793,46,-1.1806,39,-1.4171,23,-2.1904,244,1.75689,95,-0.1004,81,-0.3865
ENSG00000123989,CHPF,4,-3.2063,11,-1.8821,4,-3.1974,19,-1.0635,67,1.03968,27,-0.6554,69,1.28762
ENSG00000124006,OBSL1,43,-0.4721,52,-0.1863,0,-6.5844,38,-0.6798,80,0.54358,46,-0.4645,92,0.93713
ENSG00000114923,SLC4A3,49,0.25326,3,-3.7162,18,-1.3009,19,-1.1831,65,0.77658,59,0.70190,36,-0.2874
ENSG00000116106,EPHA4,43,-0.3770,10,-2.5254,7,-2.9438,8,-2.9083,198,2.85856,42,-0.5031,25,-1.3868
ENSG00000116120,FARSB,34,-0.3998,29,-0.6753,57,0.37605,29,-0.6405,92,1.37630,30,-0.6951,37,-0.3390
ENSG00000123983,ACSL3,172,0.12163,169,0.09392,103,-0.6707,119,-0.4518,259,0.90131,78,-1.2447,197,0.43016
ENSG00000171951,SCG2,298,0.24497,40,-2.7717,50,-2.4494,27,-3.3121,567,1.55224,61,-2.3794,444,1.20340
ENSG00000135900,MRPL44,21,-0.5503,46,0.68053,12,-1.3874,13,-1.1880,48,0.84727,28,-0.1388,29,-0.0353
ENSG00000135919,SERPINE2,103,-1.8166,146,-1.2977,54,-2.7583,300,-0.2048,297,-0.2414,112,-1.8952,858,2.32733
ENSG00000036257,CUL3,35,-1.0342,43,-0.7223,49,-0.5287,38,-0.9097,113,0.91062,53,-0.4921,92,0.59588
ENSG00000135905,DOCK10,26,-0.8151,150,2.07723,30,-0.6238,23,-0.9821,25,-0.9355,14,-1.9853,72,1.00954
ENSG00000168958,MFF,66,-0.6859,68,-0.6326,41,-1.3913,64,-0.7210,143,0.58770,99,-0.0840,138,0.59593
ENSG00000173744,AGFG1,40,-0.3897,70,0.49954,46,-0.1660,11,-2.1996,71,0.58326,43,-0.3168,58,0.25934
ENSG00000153823,PID1,21,-0.8207,32,-0.1875,13,-1.5523,48,0.48263,44,0.36558,40,0.21385,36,0.00507
ENSG00000187957,DNER,117,-1.1119,315,0.42439,65,-1.9809,122,-1.0506,279,0.25153,48,-2.6728,527,1.84167
ENSG00000153827,TRIP12,106,0.26122,174,1.07872,101,0.18757,68,-0.4348,118,0.48433,54,-0.8910,76,-0.3017
ENSG00000135932,CAB39,94,0.00746,47,-1.0348,57,-0.7542,70,-0.4458,162,1.02248,93,-0.0062,83,-0.2243
ENSG00000135916,ITM2C,327,-1.3757,256,-1.7408,435,-0.9483,466,-0.8435,647,-0.3730,806,1.39712,1492,1.36926
ENSG00000204128,C2orf72,50,0.03747,37,-0.4190,20,-1.3594,24,-1.0570,27,-0.9787,30,-0.8333,103,1.73045
ENSG00000173692,PSMD1,249,0.60166,156,-0.1419,129,-0.4357,202,0.26646,258,0.74749,117,-0.6827,149,-0.2597
ENSG00000115053,NCL,682,0.15399,1323,1.25336,977,0.73664,1189,1.06730,462,-0.4915,418,-0.7128,358,-0.9759
ENSG00000187514,PTMA,1495,-0.3252,5598,1.89905,2029,0.15275,2625,0.56757,1135,-0.8047,1593,-0.2727,1102,-0.9216
ENSG00000156973,PDE6D,20,-1.3219,32,-0.5816,5,-3.3178,66,0.52717,37,-0.3909,43,-0.1905,80,1.14517
ENSG00000135930,EIF4E2,70,0.75939,27,-0.7459,39,-0.1577,55,0.36495,47,0.13295,41,-0.1306,39,-0.2260
ENSG00000115468,EFHD1,55,-1.0619,396,2.23474,29,-1.9735,226,1.18668,20,-2.6402,67,-0.8726,123,0.21836
ENSG00000204120,GIGYF2,170,0.78536,157,0.65447,185,0.93052,133,0.38278,76,-0.5315,88,-0.3167,64,-0.8834
ENSG00000182600,SNORC,116,-1.4924,187,-0.7844,152,-1.0927,291,-0.1039,77,-2.2054,214,-0.6791,728,2.08522
ENSG00000066248,NGEF,72,-0.4810,11,-3.2039,61,-0.7227,33,-1.6569,282,2.20483,80,-0.3756,64,-0.7571
ENSG00000188042,ARL4C,78,-0.5250,25,-2.2178,36,-1.6685,26,-2.1560,178,0.88805,62,-1.0168,203,1.36551
ENSG00000157985,AGAP1,151,-0.0013,299,1.11756,178,0.25685,199,0.44221,85,-0.9416,141,-0.1360,131,-0.2662
ENSG00000132321,IQCA1,137,1.18414,133,1.13020,61,-0.1333,109,0.78758,37,-0.9615,38,-0.9756,57,-0.3041
ENSG00000198612,COPS8,72,-0.5501,68,-0.6347,36,-1.5703,84,-0.3010,163,0.85063,93,-0.1827,121,0.33319
ENSG00000124831,LRRFIP1,216,1.29896,71,-0.4984,133,0.47547,33,-1.6240,88,-0.1883,107,0.16275,77,-0.4621
ENSG00000132329,RAMP1,42,-2.0066,68,-1.2974,32,-2.3800,60,-1.4894,94,-0.8721,160,0.01756,346,1.83310
ENSG00000184182,UBE2F,71,0.46324,45,-0.2490,29,-0.9331,64,0.29165,37,-0.6181,79,0.81758,40,-0.5387
ENSG00000132323,ILKAP,14,-1.4014,41,0.22622,19,-0.9277,64,0.94502,52,0.67365,17,-1.3119,45,0.46971
ENSG00000144485,HES6,35,-0.3866,54,0.29339,19,-1.2663,13,-1.8755,18,-1.4805,54,0.35702,74,1.04839
ENSG00000204104,TRAF3IP1,157,1.39542,45,-0.6404,120,0.92379,61,-0.1499,40,-0.8516,97,0.73499,19,-2.0929
ENSG00000065802,ASB1,11,-1.3208,45,0.82241,27,0.01397,9,-1.6688,18,-0.6565,31,0.25918,34,0.47591
ENSG00000130414,NDUFA10,105,0.04680,63,-0.7319,94,-0.1271,85,-0.2769,183,1.08318,79,-0.4689,91,-0.2083
ENSG00000172428,COPS9,245,-1.2257,234,-1.2904,469,-0.2355,620,0.20247,457,-0.3011,802,0.80038,553,0.02618
ENSG00000063660,GPC1,118,1.01436,7,-3.2978,25,-1.3995,6,-3.3973,61,-0.0779,47,-0.5430,114,1.28586
ENSG00000130294,KIF1A,461,0.43407,349,-0.0070,464,0.44307,358,0.03108,269,-0.4477,384,0.17410,297,-0.3137
ENSG00000122085,MTERF4,27,-0.1111,41,0.56715,10,-1.5288,52,0.95426,35,0.34740,25,-0.2095,22,-0.4445
ENSG00000115685,PPP1R7,59,-1.2124,48,-1.5164,129,-0.0142,163,0.35630,230,1.05238,117,-0.2068,119,-0.1798
ENSG00000115677,HDLBP,100,-0.5053,97,-0.5592,95,-0.5816,158,0.19970,183,0.48864,153,0.18580,131,-0.1110
ENSG00000168385,SEPTIN2,227,-0.6865,479,0.48325,297,-0.2706,430,0.31072,142,-1.4808,328,-0.1416,515,0.77651
ENSG00000115694,STK25,114,0.09418,26,-2.1310,97,-0.1551,53,-1.0792,121,0.20192,110,0.03970,143,0.57803
ENSG00000176946,THAP4,30,-0.2653,10,-1.8693,3,-3.3402,3,-3.5357,49,0.54587,33,-0.1441,62,1.18418
ENSG00000168397,ATG4B,39,0.28370,11,-1.6065,29,-0.1778,7,-2.1898,49,0.71320,31,-0.1004,38,0.31663
ENSG00000168395,ING5,60,0.52373,76,0.90453,72,0.80320,0,-7.4016,42,-0.0742,27,-0.8745,50,0.27949
ENSG00000134121,CHL1,216,0.48397,96,-0.7840,70,-1.2520,119,-0.4448,344,1.49059,73,-1.3668,168,0.10153
ENSG00000144619,CNTN4,69,1.67237,8,-1.6288,16,-0.7221,26,0.06394,56,1.51616,13,-1.0894,11,-1.4544
ENSG00000113851,CRBN,98,0.28990,107,0.43145,24,-1.8555,107,0.42254,109,0.51544,66,-0.3973,76,-0.1310
ENSG00000150995,ITPR1,337,1.22707,22,-2.9580,169,0.08780,37,-2.1979,277,1.02276,169,0.10444,97,-0.8875
ENSG00000134107,BHLHE40,28,-0.8075,35,-0.4749,7,-2.7573,8,-2.5190,64,0.53896,61,0.49899,60,0.46397
ENSG00000134108,ARL8B,140,0.21617,82,-0.6103,70,-0.8552,143,0.24263,177,0.66744,81,-0.7460,145,0.33811
ENSG00000196220,SRGAP3,147,1.59900,41,-0.4732,75,0.46122,21,-1.5049,62,0.17445,37,-0.7549,52,-0.1480
ENSG00000206573,THUMPD3-AS1,77,1.18484,45,0.31215,24,-0.6921,33,-0.1630,24,-0.6922,36,-0.0676,37,-0.0194
ENSG00000134077,THUMPD3,43,0.34692,71,1.16377,42,0.29162,17,-1.0301,48,0.57832,19,-1.0691,30,-0.2633
ENSG00000168137,SETD5,234,1.83763,117,0.61677,115,0.59109,59,-0.4456,55,-0.6040,56,-0.6329,49,-0.8487
ENSG00000156959,LHFPL4,56,1.11224,2,-3.8536,12,-1.2920,0,-5.3298,29,0.07491,34,0.34646,36,0.49608
ENSG00000134072,CAMK1,35,-0.8801,14,-2.2511,37,-0.8022,17,-1.9098,110,1.06891,50,-0.3998,90,0.77847
ENSG00000171148,TADA3,54,-1.1459,40,-1.5781,77,-0.6069,161,0.55320,81,-0.5627,152,0.57967,139,0.39809
ENSG00000241553,ARPC4,82,-0.3247,83,-0.3206,45,-1.2491,118,0.24010,121,0.30550,120,0.33274,96,-0.1033
ENSG00000156990,RPUSD3,30,-0.3017,25,-0.6020,38,0.04262,17,-1.1508,54,0.69656,36,-0.0665,39,0.10295
ENSG00000163703,CRELD1,47,0.41361,29,-0.3419,8,-2.1425,8,-2.1704,90,1.79909,24,-0.7398,30,-0.3410
ENSG00000163704,PRRT3,58,1.28372,6,-2.1552,14,-0.9146,23,-0.2160,36,0.54768,33,0.42749,15,-0.9814
ENSG00000125037,EMC3,40,-0.8615,54,-0.4331,29,-1.3634,57,-0.3352,119,0.94526,68,-0.0772,77,0.14851
ENSG00000254999,BRK1,120,-0.6045,104,-0.8230,121,-0.5953,159,-0.1724,262,0.70968,240,0.61132,127,-0.6082
ENSG00000157014,TATDN2,49,0.00289,50,0.03620,12,-2.0150,58,0.26978,42,-0.2409,43,-0.2429,68,0.66618
ENSG00000157020,SEC13,6,-2.4738,20,-0.7244,16,-1.0309,6,-2.5091,44,0.57701,35,0.16791,48,0.82451
ENSG00000157087,ATP2B2,320,0.92656,16,-3.5706,73,-1.3765,41,-2.2349,393,1.50639,186,0.05779,124,-0.6783
ENSG00000157103,SLC6A1,187,-0.6626,129,-1.2138,158,-0.9145,77,-1.9869,218,-0.4643,167,-0.9623,651,1.97311
ENSG00000144560,VGLL4,31,-0.5819,62,0.50641,8,-2.4386,44,-0.0321,48,0.09905,34,-0.5218,66,0.78855
ENSG00000157152,SYN2,338,1.20177,28,-2.5974,77,-1.1500,92,-0.8656,347,1.46185,146,-0.1989,94,-0.9735
ENSG00000075975,MKRN2,19,-0.4975,20,-0.4160,18,-0.5770,22,-0.2323,51,1.26643,17,-0.7300,26,0.03274
ENSG00000132155,RAF1,57,0.80312,70,1.15894,14,-1.3870,2,-4.0228,37,0.12336,27,-0.4441,39,0.21901
ENSG00000144713,RPL32,1101,-1.0034,1618,-0.4165,2627,0.34523,3192,0.66210,1296,-0.8141,2973,0.70123,1776,-0.3269
ENSG00000144711,IQSEC1,168,-0.3257,91,-1.2555,303,0.60751,71,-1.6210,179,-0.2509,269,0.51989,231,0.20841
ENSG00000163517,HDAC11,59,-0.1458,127,1.09749,13,-2.4107,55,-0.2643,67,0.05366,54,-0.3252,76,0.30721
ENSG00000154767,XPC,66,1.12289,99,1.85443,61,0.99510,38,0.20517,14,-1.4060,14,-1.4147,21,-0.8315
ENSG00000170860,LSM3,59,-1.0230,47,-1.3516,122,0.08618,96,-0.2820,146,0.42172,133,0.28730,122,0.11137
ENSG00000154781,CCDC174,74,1.00168,89,1.31601,38,-0.0798,15,-1.4329,29,-0.5385,22,-1.0213,46,0.27620
ENSG00000225733,FGD5-AS1,109,-0.4877,197,0.43185,33,-2.2506,108,-0.5038,117,-0.4147,189,0.45947,184,0.40448
ENSG00000177463,NR2C2,40,0.46559,28,-0.1048,20,-0.6264,0,-6.9916,37,0.38911,22,-0.5202,43,0.74268
ENSG00000131368,MRPS25,116,0.89396,45,-0.6088,30,-1.2350,13,-2.3781,98,0.68441,63,-0.1197,71,0.12689
ENSG00000131381,RBSN,37,-0.5209,47,-0.1463,18,-1.5846,83,0.77754,56,0.15334,44,-0.2790,62,0.38178
ENSG00000131370,SH3BP5,78,0.36030,196,1.94976,49,-0.3818,99,0.73414,103,0.91722,27,-1.4529,14,-2.4817
ENSG00000206560,ANKRD28,50,0.25526,99,1.38832,36,-0.2512,76,0.93516,56,0.47109,27,-0.8156,19,-1.3654
ENSG00000154813,DPH3,25,-0.5542,55,0.66036,60,0.80793,47,0.42641,39,0.15473,37,0.05267,19,-1.1462
ENSG00000154822,PLCL2,26,0.37293,4,-2.2212,10,-1.1287,0,-6.4543,54,1.90504,22,0.17548,11,-1.1215
ENSG00000131374,TBC1D5,59,-0.3921,74,-0.0478,62,-0.3354,97,0.37471,66,-0.2376,75,-0.0232,89,0.29121
ENSG00000182568,SATB1,172,0.68176,29,-2.0308,207,0.98726,36,-1.7183,140,0.38631,142,0.46959,67,-0.9363
ENSG00000144566,RAB5A,97,-0.3254,114,-0.0723,156,0.42592,104,-0.2063,144,0.33706,108,-0.1849,115,-0.0585
ENSG00000114166,KAT2B,42,-1.3380,157,0.68239,127,0.33822,104,0.01370,36,-1.6704,80,-0.4544,163,0.97619
ENSG00000151789,ZNF385D,174,1.18946,26,-1.7597,96,0.21057,31,-1.5235,127,0.73633,52,-0.8667,92,0.16339
ENSG00000182247,UBE2E2,43,-0.0857,49,0.10741,31,-0.5856,8,-2.6117,81,1.06876,50,0.18852,34,-0.5135
ENSG00000170142,UBE2E1,19,-2.0653,65,-0.2227,69,-0.1223,76,0.02856,92,0.36498,85,0.24785,77,0.04688
ENSG00000197885,NKIRAS1,27,-0.7548,8,-2.5546,44,-0.0251,31,-0.5598,84,1.19329,29,-0.7565,56,0.46378
ENSG00000174748,RPL15,651,-0.9249,864,-0.4934,1149,-0.0512,1312,0.15775,1231,0.06349,1517,0.49401,1085,-0.1699
ENSG00000174738,NR1D2,60,0.30283,49,-0.0253,30,-0.7439,2,-4.7569,69,0.58233,46,-0.1368,59,0.35735
ENSG00000151090,THRB,144,1.00371,24,-1.7675,41,-0.9805,39,-1.0373,141,1.11228,63,-0.3836,71,-0.1746
ENSG00000077097,TOP2B,142,-0.2189,190,0.24635,133,-0.3091,342,1.22150,201,0.37184,121,-0.5507,128,-0.4516
ENSG00000179796,LRRC3B,44,-0.6948,1,-5.7592,16,-2.1718,91,0.44399,39,-0.9325,49,-0.6033,150,1.81937
ENSG00000033867,SLC4A7,98,0.55834,58,-0.2792,163,1.41455,127,0.98497,34,-1.1400,65,-0.1339,41,-0.9348
ENSG00000187118,CMC1,20,-1.0042,19,-1.0940,44,0.17945,38,-0.0546,40,0.00648,35,-0.2373,56,0.71872
ENSG00000163512,AZI2,114,0.23534,91,-0.1066,142,0.59650,95,-0.0420,97,-0.0162,109,0.20909,70,-0.6003
ENSG00000144642,RBMS3,47,0.30951,20,-0.9871,75,1.08419,31,-0.3329,21,-0.9725,47,0.39911,35,-0.1734
ENSG00000163527,STT3B,63,0.34392,76,0.63686,33,-0.6821,30,-0.8182,76,0.73597,18,-1.7354,67,0.55797
ENSG00000152642,GPD1L,45,0.37566,2,-3.7238,9,-2.0483,30,-0.2493,59,0.94177,38,0.11488,36,0.01790
ENSG00000091317,CMTM6,36,0.27494,30,-0.0393,14,-1.1694,26,-0.2229,11,-1.5604,47,0.90344,32,0.08317
ENSG00000144635,DYNC1LI1,62,0.25229,34,-0.6802,17,-1.6999,20,-1.4637,113,1.46645,47,-0.1935,44,-0.3453
ENSG00000170275,CRTAP,53,-0.3209,90,0.51860,49,-0.4404,44,-0.5925,43,-0.6970,81,0.42117,73,0.21430
ENSG00000153558,FBXL2,30,0.52377,2,-3.2501,1,-4.4590,15,-0.5131,65,2.30447,12,-1.0476,15,-0.6510
ENSG00000153560,UBP1,60,0.28138,60,0.30635,29,-0.8015,37,-0.4638,47,-0.0921,30,-0.8736,75,0.85498
ENSG00000163539,CLASP2,204,0.07272,326,0.83629,188,-0.0563,170,-0.2108,256,0.48739,157,-0.3971,155,-0.4251
ENSG00000170248,PDCD6IP,60,-0.0277,118,1.05388,44,-0.5201,43,-0.5374,88,0.64777,44,-0.6104,55,-0.2158
ENSG00000172995,ARPP21,411,1.49320,69,-1.3517,290,0.88489,88,-0.9872,268,0.86075,156,-0.1388,50,-2.0308
ENSG00000178567,EPM2AIP1,128,0.82837,141,0.98432,45,-0.8324,53,-0.5580,99,0.45927,51,-0.7384,67,-0.2439
ENSG00000093167,LRRFIP2,139,1.38800,113,1.03315,44,-0.4561,92,0.69585,50,-0.3155,29,-1.2323,47,-0.4355
ENSG00000144674,GOLGA4,926,1.23056,796,0.96833,730,0.82438,654,0.64195,248,-0.9406,256,-0.9667,299,-0.7004
ENSG00000144677,CTDSPL,65,1.01741,30,-0.2027,33,-0.0985,23,-0.5995,29,-0.3161,28,-0.3848,41,0.32614
ENSG00000136059,VILL,0,-7.9545,4,-2.8672,21,-0.3572,35,0.38428,20,-0.5186,41,0.87164,34,0.45510
ENSG00000060971,ACAA1,35,-0.8402,84,0.50019,29,-1.1332,60,-0.0506,58,-0.0896,59,-0.0779,79,0.49108
ENSG00000114742,WDR48,39,-0.4446,49,-0.1199,28,-0.9445,76,0.58531,55,0.08727,36,-0.7000,74,0.68914
ENSG00000114745,GORASP1,43,0.59212,24,-0.2874,11,-1.4961,25,-0.2562,29,-0.0193,15,-1.1296,49,1.06695
ENSG00000168329,CX3CR1,35,-0.6356,52,-0.0217,43,-0.3246,5,-3.3922,22,-1.3764,87,1.06894,64,0.38466
ENSG00000168028,RPSA,566,-0.7464,875,-0.0767,1557,0.85486,1019,0.16339,542,-0.8748,1203,0.54692,771,-0.3282
ENSG00000168314,MOBP,504,-1.6070,6501,2.71073,1994,0.50803,7877,3.18191,22,-6.2955,123,-3.9432,44,-5.4369
ENSG00000170011,MYRIP,23,-0.2365,19,-0.5136,11,-1.3007,1,-4.4851,48,1.08794,31,0.30523,25,-0.0872
ENSG00000114784,EIF1B,84,-0.8635,68,-1.1704,85,-0.8353,61,-1.3437,236,0.87116,145,-0.0164,185,0.46301
ENSG00000188846,RPL14,463,-1.0689,433,-1.1670,1414,0.67618,1037,0.17369,806,-0.2420,1246,0.59714,817,-0.2422
ENSG00000168036,CTNNB1,143,-0.4346,248,0.42535,106,-0.8909,231,0.30922,237,0.39512,179,-0.1151,180,-0.1047
ENSG00000182606,TRAK1,64,0.02144,24,-1.4496,51,-0.3278,19,-1.7830,69,0.13901,63,-0.0110,92,0.76112
ENSG00000187094,CCK,391,-1.3902,64,-4.0360,358,-1.5236,167,-2.6465,2010,1.39209,594,-0.8860,1631,1.11322
ENSG00000093183,SEC22C,62,0.50061,69,0.69006,21,-1.1563,46,0.02882,46,0.04375,26,-0.9707,57,0.48284
ENSG00000008324,SS18L2,28,-0.3801,27,-0.4001,29,-0.3221,23,-0.6328,67,1.18747,36,0.02616,25,-0.5955
ENSG00000114857,NKTR,763,2.32411,327,0.77197,258,0.38393,144,-0.5298,62,-1.8782,151,-0.5366,121,-0.9281
ENSG00000114853,ZBTB47,38,-0.7186,94,0.71975,108,0.94466,32,-0.9757,30,-1.1351,72,0.34328,59,-0.0491
ENSG00000010282,HHATL,9,-2.9869,239,2.15426,12,-2.6290,42,-0.7453,34,-1.1658,31,-1.3545,121,1.22231
ENSG00000181061,HIGD1A,200,-0.7388,220,-0.5942,324,0.00235,243,-0.4418,350,0.14141,420,0.52815,310,-0.0781
ENSG00000163788,SNRK,45,-0.0760,20,-1.2549,40,-0.2433,26,-0.9045,49,0.08888,45,-0.0795,66,0.69865
ENSG00000163807,KIAA1143,65,0.07407,103,0.82929,12,-2.4291,70,0.20982,56,-0.1707,56,-0.1668,70,0.23691
ENSG00000163812,ZDHHC3,21,-0.3765,13,-1.0617,21,-0.3390,2,-3.3790,37,0.58410,39,0.80905,23,-0.2599
ENSG00000249992,TMEM158,45,0.26067,25,-0.6379,1,-5.1301,26,-0.5639,71,1.15767,43,0.21905,30,-0.4331
ENSG00000211456,SACM1L,70,1.15861,30,-0.1851,17,-1.0125,11,-1.6637,66,1.23956,15,-1.3589,34,0.00357
ENSG00000163818,LZTFL1,20,-0.3343,15,-0.8009,5,-2.4333,0,-6.6171,52,1.35932,30,0.31134,24,-0.1261
ENSG00000160799,CCDC12,22,-1.3488,50,-0.0827,17,-1.6972,57,0.12574,76,0.66358,51,-0.0516,60,0.25829
ENSG00000181555,SETD2,167,1.09150,152,0.92498,190,1.31849,135,0.73087,70,-0.3423,49,-0.9739,32,-1.6965
ENSG00000088727,KIF9,20,-0.6097,9,-1.7706,56,1.04641,1,-4.6887,31,0.08119,45,0.90153,23,-0.4343
ENSG00000114650,SCAP,68,1.05608,48,0.48297,25,-0.5095,5,-2.7278,35,-0.0259,21,-0.8870,48,0.61407
ENSG00000163832,ELP6,23,-0.5592,29,-0.2065,33,-0.0349,5,-2.6803,32,-0.0956,22,-0.7307,61,1.28641
ENSG00000114646,CSPG5,111,-0.9025,68,-1.6226,126,-0.7062,75,-1.4777,141,-0.5823,115,-0.9872,462,2.04345
ENSG00000173473,SMARCC1,121,0.00999,253,1.22445,283,1.42237,320,1.64819,32,-2.1068,80,-0.7350,54,-1.4017
ENSG00000132153,DHX30,119,0.66674,43,-0.9206,26,-1.6295,48,-0.7431,128,0.90277,55,-0.6394,94,0.35961
ENSG00000047849,MAP4,336,-0.1435,491,0.45949,390,0.08922,585,0.74530,363,-0.0234,379,0.05580,251,-0.6956
ENSG00000164050,PLXNB1,33,-0.8450,116,1.14940,1,-5.3136,10,-2.5060,10,-2.6217,42,-0.5567,126,1.87313
ENSG00000232112,TMA7,312,-1.3553,482,-0.7005,981,0.41001,766,0.01493,723,-0.0833,985,0.52854,720,-0.0992
ENSG00000164054,SHISA5,38,-1.1506,39,-1.0974,85,0.10078,46,-0.8576,80,-0.0053,103,0.49635,95,0.34418
ENSG00000010256,UQCRC1,67,-1.4371,61,-1.5608,103,-0.7931,68,-1.4017,259,0.74669,158,-0.1567,257,0.83608
ENSG00000213672,NCKIPSD,12,-1.3374,12,-1.2979,23,-0.3621,13,-1.2385,67,1.60204,30,0.02114,23,-0.4520
ENSG00000068745,IP6K2,57,0.21851,22,-1.2432,47,-0.0762,36,-0.4989,78,0.81982,37,-0.5289,56,0.21485
ENSG00000114302,PRKAR2A,125,1.26747,59,0.02041,49,-0.2573,64,0.14786,41,-0.5745,30,-1.1329,75,0.52063
ENSG00000177479,ARIH2,89,0.97826,81,0.81645,59,0.30031,27,-0.9028,38,-0.4277,47,-0.0823,38,-0.4681
ENSG00000178467,P4HTM,73,0.13123,19,-1.9108,28,-1.3454,8,-3.0430,149,1.53934,54,-0.4156,74,0.17077
ENSG00000178252,WDR6,45,0.03081,55,0.35513,19,-1.2209,27,-0.7492,40,-0.1691,27,-0.8780,73,1.10428
ENSG00000178057,NDUFAF3,33,-1.8835,122,0.09119,74,-0.6828,104,-0.1575,135,0.28454,134,0.30828,124,0.15485
ENSG00000178035,IMPDH2,8,-2.6735,46,-0.1732,24,-1.1406,109,1.21962,76,0.69641,34,-0.7589,59,0.27697
ENSG00000198218,QRICH1,27,-0.1697,48,0.72321,1,-4.6548,46,0.66439,45,0.70361,22,-0.5861,29,-0.0953
